block,claim_use,task,setting,variant,variant_family,runs,mean_p_event,delta_p_event,ci95_delta_p_event,p_event_up_rate,unconstrained_event_rate,delta_unconstrained_event_rate,char_accuracy,delta_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
r2_semi_real_formal,semi-real field evidence,amount,labeled25_unlabeled100,B4_semi_event_0.5,B4,10,0.9659680962959926,0.18345280182361606,0.01010940762241625,0.0,1.0,0.11533333333333332,0.8421666666666666,0.02844444444444444,0.30766666666666664,0.08866666666666667,0.5475068950123257,0.0
r2_semi_real_formal,semi-real field evidence,amount,labeled25_unlabeled100,B5_rule_feature_0.8,B5,10,0.8614423207938671,0.0789270263214906,0.0031856937447587693,0.0,0.988,0.1033333333333333,0.835,0.021277777777777774,0.2773333333333333,0.058333333333333334,0.5601751390828027,0.0016666666666666668
r2_semi_real_formal,semi-real field evidence,amount,labeled25_unlabeled100,B6_pr_style_tau0.8,B6,10,0.8817821864684423,0.09926689199606578,0.008788589853492514,0.0,0.9926666666666667,0.10799999999999998,0.8447777777777777,0.03105555555555556,0.305,0.086,0.5234870603614383,0.0013333333333333335
r2_semi_real_formal,semi-real field evidence,date,labeled25_unlabeled100,B0_unconstrained,B0,10,0.7130609100162983,0.0,0.0,0.0,0.8043333333333333,0.0,0.924,0.0,0.42566666666666664,0.0,0.3603326507091522,0.09566666666666666
r2_semi_real_formal,semi-real field evidence,date,labeled25_unlabeled100,B2_event_0.1,B2,10,0.6945742011070252,-0.01848670890927314,0.0007856607871880069,0.0,0.7483333333333333,-0.05600000000000001,0.9184333333333333,-0.0055666666666666755,0.3943333333333333,-0.03133333333333334,0.3692822653134664,0.13633333333333333
r2_semi_real_formal,semi-real field evidence,date,labeled25_unlabeled100,B2_event_0.5,B2,10,0.6853467673063278,-0.02771414270997049,0.0027524167982513384,0.0,0.707,-0.09733333333333336,0.9149333333333334,-0.009066666666666678,0.37266666666666665,-0.053,0.3671060335159302,0.15633333333333332
r2_semi_real_formal,semi-real field evidence,date,labeled25_unlabeled100,B4_semi_event_0.1,B4,10,0.9085352895458539,0.19547437952955563,0.009378136112759554,0.0,0.9883333333333333,0.184,0.9469333333333333,0.022933333333333316,0.578,0.15233333333333335,0.23394619433085123,0.0
r2_semi_real_formal,semi-real field evidence,date,labeled25_unlabeled100,B4_semi_event_0.5,B4,10,0.9608786414662996,0.24781773145000138,0.012280489500853102,0.0,0.999,0.19466666666666668,0.9495,0.025499999999999978,0.594,0.16833333333333333,0.20792899780273438,0.0
r2_semi_real_formal,semi-real field evidence,date,labeled25_unlabeled100,B5_rule_feature_0.8,B5,10,0.8130184700290362,0.09995756001273791,0.0036608448934643293,0.0,0.9390000000000001,0.13466666666666668,0.9382333333333333,0.014233333333333298,0.5163333333333333,0.09066666666666667,0.3219971287727356,0.006666666666666667
r2_semi_real_formal,semi-real field evidence,date,labeled25_unlabeled100,B6_pr_style_tau0.8,B6,10,0.8743753484288851,0.16131443841258683,0.008519400711655172,0.0,0.9773333333333334,0.17300000000000001,0.9436666666666667,0.019666666666666645,0.553,0.12733333333333335,0.26348286968866985,0.0003333333333333334
r2_semi_real_formal,semi-real field evidence,dose,labeled25_unlabeled100,B0_unconstrained,B0,10,0.9155255917211373,0.0,0.0,0.0,0.9953333333333333,0.0,0.8051333333333334,0.0,0.21333333333333332,0.0,0.7924761318365733,0.0013333333333333335
r2_semi_real_formal,semi-real field evidence,dose,labeled25_unlabeled100,B2_event_0.1,B2,10,0.9113353048563003,-0.0041902868648370116,0.0007443716910406101,0.0,0.993,-0.002333333333333332,0.8046,-0.0005333333333333412,0.20866666666666667,-0.004666666666666664,0.8088614627202352,0.0013333333333333335
r2_semi_real_formal,semi-real field evidence,dose,labeled25_unlabeled100,B2_event_0.5,B2,10,0.9056261309683323,-0.009899460752805067,0.0016799175028270263,0.0,0.9893333333333333,-0.006000000000000005,0.8035333333333333,-0.0016000000000000237,0.195,-0.018333333333333326,0.860841810353597,0.0006666666666666668
r2_semi_real_formal,semi-real field evidence,dose,labeled25_unlabeled100,B4_semi_event_0.1,B4,10,0.9735064743757248,0.05798088265458743,0.004000407684064831,0.0,1.0,0.004666666666666675,0.8110666666666666,0.005933333333333302,0.24266666666666667,0.02933333333333333,0.8454090080102284,0.0
r2_semi_real_formal,semi-real field evidence,dose,labeled25_unlabeled100,B4_semi_event_0.5,B4,10,0.9888023931384087,0.0732768014172713,0.004302636077724317,0.0,1.0,0.004666666666666675,0.8032,-0.0019333333333333425,0.22766666666666666,0.014333333333333339,0.8944709911028544,0.0
r2_semi_real_formal,semi-real field evidence,dose,labeled25_unlabeled100,B5_rule_feature_0.8,B5,10,0.9440296766559283,0.02850408493479093,0.001583879097784621,0.0,0.9986666666666667,0.0033333333333333327,0.8120666666666667,0.006933333333333336,0.23933333333333334,0.02600000000000001,0.7362985122362773,0.0
r2_semi_real_formal,semi-real field evidence,dose,labeled25_unlabeled100,B6_pr_style_tau0.8,B6,10,0.935480524301529,0.019954932580391584,0.0033897015314595016,0.0,0.9966666666666667,0.001333333333333331,0.8160666666666666,0.010933333333333295,0.251,0.037666666666666675,0.7558764980792999,0.0003333333333333334
r2_semi_real_formal,semi-real field evidence,product_code,labeled25_unlabeled100,B0_unconstrained,B0,10,0.7750838500161965,0.0,0.0,0.0,0.9666666666666667,0.0,0.7293888888888889,0.0,0.08,0.0,1.0005606554481719,0.03133333333333333
r2_semi_real_formal,semi-real field evidence,product_code,labeled25_unlabeled100,B2_event_0.1,B2,10,0.7725225583761931,-0.0025612916400035044,0.0006699036938225998,0.0,0.9656666666666667,-0.0009999999999999788,0.7278333333333333,-0.0015555555555555544,0.07666666666666667,-0.003333333333333334,1.0154353486034604,0.03233333333333333
r2_semi_real_formal,semi-real field evidence,product_code,labeled25_unlabeled100,B2_event_0.5,B2,10,0.767827565903465,-0.0072562841127316036,0.0024653558194665005,0.0,0.963,-0.00366666666666664,0.722,-0.007388888888888889,0.064,-0.016000000000000004,1.109447436094284,0.03833333333333334
r2_semi_real_formal,semi-real field evidence,product_code,labeled25_unlabeled100,B4_semi_event_0.1,B4,10,0.9376729299028714,0.1625890798866749,0.01007872602898261,0.0,0.9996666666666667,0.03300000000000003,0.7493888888888889,0.019999999999999983,0.11966666666666667,0.03966666666666667,0.9933444890313678,0.0
r2_semi_real_formal,semi-real field evidence,product_code,labeled25_unlabeled100,B4_semi_event_0.5,B4,10,0.9750324628353119,0.19994861281911536,0.011767276967197395,0.0,1.0,0.03333333333333336,0.7451666666666666,0.01577777777777777,0.11366666666666667,0.033666666666666664,1.0279073577457005,0.0
r2_semi_real_formal,semi-real field evidence,product_code,labeled25_unlabeled100,B5_rule_feature_0.8,B5,10,0.8637640525301298,0.08868020251393319,0.0050776999286575135,0.0,0.9936666666666667,0.027000000000000024,0.7344444444444445,0.005055555555555535,0.08466666666666667,0.004666666666666662,0.9503365530702803,0.0023333333333333335
r2_semi_real_formal,semi-real field evidence,product_code,labeled25_unlabeled100,B6_pr_style_tau0.8,B6,10,0.8817119860649109,0.10662813604871432,0.009929165380066206,0.0,0.993,0.026333333333333365,0.7516111111111111,0.022222222222222244,0.11833333333333333,0.03833333333333333,0.934030552400483,0.002666666666666667
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_6d,real_l25_u100,B0_unconstrained,B0,10,0.9120121616323789,0.0,0.0,0.0,1.0,0.0,0.8391666666666666,0.0,0.2796666666666667,0.0,0.6475732481744554,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_6d,real_l25_u100,B2_event_0.1,B2,10,0.9091721436778705,-0.0028400179545084447,0.00036806073544528754,0.0,1.0,0.0,0.8305555555555555,-0.008611111111111135,0.25466666666666665,-0.025,0.687432990498013,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_6d,real_l25_u100,B2_event_0.5,B2,10,0.9423991292715073,0.030386967639128383,0.0023148203327817856,0.0,1.0,0.0,0.8683888888888889,0.029222222222222226,0.377,0.09733333333333333,0.5512162454658084,0.0
r4_real_source_formal,real-source small-field auxiliary evidence,invoice_6d,real_l25_u100,B4_semi_event_0.1,B4,10,0.9720281419157982,0.06001598028341929,0.0051379322128582185,0.0,1.0,0.0,0.8592222222222222,0.02005555555555555,0.3496666666666667,0.07,0.5909630982610914,0.0
