variant,generic_baseline,generic_risk_bin,cases,low_event_cases,high_event_cases,low_event_exact_error,high_event_exact_error,event_within_bin_error_gap
B4_semi_event_0.1,token_marginal_entropy,6,300,162,138,0.808641975308642,0.8985507246376812,0.08990874932903914
B4_semi_event_0.1,token_marginal_entropy,7,300,161,139,0.8881987577639752,0.9064748201438849,0.018276062379909752
B4_semi_event_0.1,token_marginal_entropy,8,300,152,148,0.9539473684210527,0.9391891891891891,-0.01475817923186351
B4_semi_event_0.1,token_marginal_entropy,9,300,153,147,0.9803921568627451,0.9659863945578231,-0.014405762304921965
B4_semi_event_0.1,token_marginal_entropy,10,300,151,149,0.9801324503311258,0.9865771812080537,0.006444730876927873
B4_semi_event_0.1,token_marginal_entropy,weighted_mean,3000,,,,,0.04260557377481199
B4_semi_event_0.1,sequence_entropy,1,300,219,81,0.2648401826484018,0.37037037037037035,0.10553018772196854
B4_semi_event_0.1,sequence_entropy,2,300,175,125,0.5657142857142857,0.688,0.12228571428571422
B4_semi_event_0.1,sequence_entropy,3,300,178,122,0.6573033707865169,0.7213114754098361,0.06400810462331918
B4_semi_event_0.1,sequence_entropy,4,300,156,144,0.7435897435897436,0.7986111111111112,0.05502136752136755
B4_semi_event_0.1,sequence_entropy,5,300,165,135,0.8121212121212121,0.8814814814814815,0.0693602693602694
B4_semi_event_0.1,sequence_entropy,6,300,152,148,0.8289473684210527,0.8716216216216216,0.042674253200568946
B4_semi_event_0.1,sequence_entropy,7,300,153,147,0.8823529411764706,0.9183673469387755,0.03601440576230497
B4_semi_event_0.1,sequence_entropy,8,300,152,148,0.9342105263157895,0.9594594594594594,0.025248933143669938
B4_semi_event_0.1,sequence_entropy,9,300,158,142,0.9683544303797469,0.9929577464788732,0.02460331609912636
B4_semi_event_0.1,sequence_entropy,10,300,151,149,0.9801324503311258,0.9932885906040269,0.013156140272901018
B4_semi_event_0.1,sequence_entropy,weighted_mean,3000,,,,,0.055790269199121015
B4_semi_event_0.1,viterbi_margin_inverse,1,300,215,85,0.26976744186046514,0.4,0.13023255813953488
B4_semi_event_0.1,viterbi_margin_inverse,2,300,169,131,0.5502958579881657,0.7251908396946565,0.17489498170649076
B4_semi_event_0.1,viterbi_margin_inverse,3,300,152,148,0.6644736842105263,0.7702702702702703,0.10579658605974396
B4_semi_event_0.1,viterbi_margin_inverse,4,300,177,123,0.7627118644067796,0.8373983739837398,0.07468650957696021
B4_semi_event_0.1,viterbi_margin_inverse,5,300,159,141,0.7987421383647799,0.9290780141843972,0.13033587581961725
B4_semi_event_0.1,viterbi_margin_inverse,6,300,154,146,0.8571428571428571,0.910958904109589,0.05381604696673192
B4_semi_event_0.1,viterbi_margin_inverse,7,300,153,147,0.8366013071895425,0.9455782312925171,0.10897692410297455
B4_semi_event_0.1,viterbi_margin_inverse,8,300,156,144,0.8910256410256411,0.9722222222222222,0.08119658119658113
B4_semi_event_0.1,viterbi_margin_inverse,9,300,153,147,0.9215686274509803,0.9727891156462585,0.051220488195278135
B4_semi_event_0.1,viterbi_margin_inverse,10,300,153,147,0.8954248366013072,0.9387755102040817,0.04335067360277445
B4_semi_event_0.1,viterbi_margin_inverse,weighted_mean,3000,,,,,0.09545072253666873
B4_semi_event_0.1,max_sequence_probability_inverse,1,300,218,82,0.2706422018348624,0.3780487804878049,0.10740657865294251
B4_semi_event_0.1,max_sequence_probability_inverse,2,300,173,127,0.5549132947976878,0.7007874015748031,0.14587410677711532
B4_semi_event_0.1,max_sequence_probability_inverse,3,300,167,133,0.6646706586826348,0.7669172932330827,0.10224663455044791
B4_semi_event_0.1,max_sequence_probability_inverse,4,300,177,123,0.7344632768361582,0.8292682926829268,0.09480501584676859
B4_semi_event_0.1,max_sequence_probability_inverse,5,300,153,147,0.8300653594771242,0.8979591836734694,0.06789382419634515
B4_semi_event_0.1,max_sequence_probability_inverse,6,300,152,148,0.7894736842105263,0.8851351351351351,0.09566145092460876
B4_semi_event_0.1,max_sequence_probability_inverse,7,300,159,141,0.8742138364779874,0.9361702127659575,0.061956376287970016
B4_semi_event_0.1,max_sequence_probability_inverse,8,300,151,149,0.9006622516556292,0.9664429530201343,0.06578070136450509
B4_semi_event_0.1,max_sequence_probability_inverse,9,300,153,147,0.9477124183006536,0.9523809523809523,0.00466853408029877
B4_semi_event_0.1,max_sequence_probability_inverse,10,300,152,148,0.9671052631578947,1,0.03289473684210531
B4_semi_event_0.1,max_sequence_probability_inverse,weighted_mean,3000,,,,,0.07791879595231076
B4_semi_event_0.1,neg_log_viterbi_probability,1,300,218,82,0.2706422018348624,0.3780487804878049,0.10740657865294251
B4_semi_event_0.1,neg_log_viterbi_probability,2,300,173,127,0.5549132947976878,0.7007874015748031,0.14587410677711532
B4_semi_event_0.1,neg_log_viterbi_probability,3,300,167,133,0.6646706586826348,0.7669172932330827,0.10224663455044791
B4_semi_event_0.1,neg_log_viterbi_probability,4,300,177,123,0.7344632768361582,0.8292682926829268,0.09480501584676859
B4_semi_event_0.1,neg_log_viterbi_probability,5,300,153,147,0.8300653594771242,0.8979591836734694,0.06789382419634515
B4_semi_event_0.1,neg_log_viterbi_probability,6,300,152,148,0.7894736842105263,0.8851351351351351,0.09566145092460876
B4_semi_event_0.1,neg_log_viterbi_probability,7,300,159,141,0.8742138364779874,0.9361702127659575,0.061956376287970016
B4_semi_event_0.1,neg_log_viterbi_probability,8,300,151,149,0.9006622516556292,0.9664429530201343,0.06578070136450509
B4_semi_event_0.1,neg_log_viterbi_probability,9,300,153,147,0.9477124183006536,0.9523809523809523,0.00466853408029877
B4_semi_event_0.1,neg_log_viterbi_probability,10,300,152,148,0.9671052631578947,1,0.03289473684210531
B4_semi_event_0.1,neg_log_viterbi_probability,weighted_mean,3000,,,,,0.07791879595231076
