variant,generic_baseline,generic_risk_bin,cases,low_event_cases,high_event_cases,low_event_exact_error,high_event_exact_error,event_within_bin_error_gap
B4_semi_event_0.1,viterbi_margin_inverse,5,100,51,49,0.7647058823529411,0.8571428571428571,0.09243697478991597
B4_semi_event_0.1,viterbi_margin_inverse,6,100,54,46,0.7962962962962963,0.9130434782608695,0.11674718196457323
B4_semi_event_0.1,viterbi_margin_inverse,7,100,52,48,0.8653846153846154,0.8958333333333334,0.03044871794871795
B4_semi_event_0.1,viterbi_margin_inverse,8,100,52,48,0.8269230769230769,0.9375,0.11057692307692313
B4_semi_event_0.1,viterbi_margin_inverse,9,100,52,48,0.9230769230769231,0.9583333333333334,0.03525641025641024
B4_semi_event_0.1,viterbi_margin_inverse,10,100,51,49,0.9215686274509803,0.9591836734693877,0.03761504601840737
B4_semi_event_0.1,viterbi_margin_inverse,weighted_mean,1000,,,,,0.12201460095230648
B4_semi_event_0.1,max_sequence_probability_inverse,1,100,74,26,0.33783783783783783,0.46153846153846156,0.12370062370062374
B4_semi_event_0.1,max_sequence_probability_inverse,2,100,59,41,0.4745762711864407,0.6829268292682927,0.20835055808185204
B4_semi_event_0.1,max_sequence_probability_inverse,3,100,53,47,0.5094339622641509,0.7446808510638298,0.2352468887996788
B4_semi_event_0.1,max_sequence_probability_inverse,4,100,51,49,0.7647058823529411,0.8367346938775511,0.07202881152460994
B4_semi_event_0.1,max_sequence_probability_inverse,5,100,55,45,0.8,0.8222222222222222,0.022222222222222143
B4_semi_event_0.1,max_sequence_probability_inverse,6,100,52,48,0.7884615384615384,0.875,0.08653846153846156
B4_semi_event_0.1,max_sequence_probability_inverse,7,100,55,45,0.9090909090909091,0.9111111111111111,0.002020202020202033
B4_semi_event_0.1,max_sequence_probability_inverse,8,100,51,49,0.9019607843137255,0.9591836734693877,0.057222889155662204
B4_semi_event_0.1,max_sequence_probability_inverse,9,100,51,49,0.9607843137254902,0.9591836734693877,-0.0016006402561025146
B4_semi_event_0.1,max_sequence_probability_inverse,10,100,51,49,0.9803921568627451,1,0.019607843137254943
B4_semi_event_0.1,max_sequence_probability_inverse,weighted_mean,1000,,,,,0.08253378599244651
B4_semi_event_0.1,neg_log_viterbi_probability,1,100,74,26,0.33783783783783783,0.46153846153846156,0.12370062370062374
B4_semi_event_0.1,neg_log_viterbi_probability,2,100,59,41,0.4745762711864407,0.6829268292682927,0.20835055808185204
B4_semi_event_0.1,neg_log_viterbi_probability,3,100,53,47,0.5094339622641509,0.7446808510638298,0.2352468887996788
B4_semi_event_0.1,neg_log_viterbi_probability,4,100,51,49,0.7647058823529411,0.8367346938775511,0.07202881152460994
B4_semi_event_0.1,neg_log_viterbi_probability,5,100,55,45,0.8,0.8222222222222222,0.022222222222222143
B4_semi_event_0.1,neg_log_viterbi_probability,6,100,52,48,0.7884615384615384,0.875,0.08653846153846156
B4_semi_event_0.1,neg_log_viterbi_probability,7,100,55,45,0.9090909090909091,0.9111111111111111,0.002020202020202033
